Measure;Caption;Ordinato[Importo lordo ordinato per sconto];Importo lordo ordinato per sconto;Gross Amount Ordered By Discount;;;;;;;;;
Measure;Caption;Ordinato[Importo netto ordinato per sconto];Importo netto ordinato per sconto;Net Amount Ordered By Discount;;;;;;;;;
Measure;Caption;Ordinato[Importo sconto da ordinato];Importo sconto da ordinato;Discount Amount To Be Ordered;;;;;;;;;
Measure;Caption;Ordinato[Importo Sconto da categoria Cliente 2];Importo Sconto da categoria Cliente 2;Amount Discount From Customer Category 2;;;;;;;;;
Table;Caption;Ordinato residuo;Ordinato residuo;Remaining Order;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo medio - Ordinato residuo];Costo medio - Ordinato residuo;Average Cost - Remaining Order;;;;;;;;;
Table;DisplayFolder;Ordinato residuo[Corrente];;Current;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo medio progressivo - Ordinato residuo];Costo medio progressivo - Ordinato residuo;Progressive Average Cost - Residual Ordered;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo movimento - Ordinato residuo];Costo movimento - Ordinato residuo;Movement Cost - Remaining Order;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo standard - Ordinato residuo];Costo standard - Ordinato residuo;Standard Cost - Remaining Order;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo unitario medio - Ordinato residuo];Costo unitario medio - Ordinato residuo;Average Unit Cost - Remaining Order;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo unitario medio progressivo - Ordinato residuo];Costo unitario medio progressivo - Ordinato residuo;Progressive Average Unit Cost - Residual Order;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo unitario movimento - Ordinato residuo];Costo unitario movimento - Ordinato residuo;Movement Unit Cost - Residual Order;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo unitario standard - Ordinato residuo];Costo unitario standard - Ordinato residuo;Standard Unit Cost - Remaining Order;;;;;;;;;
Measure;Caption;Ordinato residuo[Importo (no omaggi) - Ordinato residuo];Importo (no omaggi) - Ordinato residuo;Amount (No Freebies) - Remaining Order;;;;;;;;;
Measure;Caption;Ordinato residuo[Importo omaggi - Ordinato residuo];Importo omaggi - Ordinato residuo;Amount Of Gifts - Remaining Order;;;;;;;;;
Measure;Caption;Ordinato residuo[Importo lordo - Ordinato residuo];Importo lordo - Ordinato residuo;Gross Amount - Remaining Order;;;;;;;;;
Measure;Caption;Ordinato residuo[Importo sconti di riga - Ordinato residuo];Importo sconti di riga - Ordinato residuo;Line Discounts Amount - Remaining Order;;;;;;;;;
Measure;Caption;Ordinato residuo[Importo sconti incondizionati - Ordinato residuo];Importo sconti incondizionati - Ordinato residuo;Unconditional Discount Amount - Remaining Order;;;;;;;;;
Measure;Caption;Ordinato residuo[Importo sconti pagamento - Ordinato residuo];Importo sconti pagamento - Ordinato residuo;Payment Discount Amount - Remaining Order;;;;;;;;;
Measure;Caption;Ordinato residuo[Importo spese piede - Ordinato residuo];Importo spese piede - Ordinato residuo;Foot Expense Amount - Remaining Order;;;;;;;;;
Measure;Caption;Ordinato residuo[Importo unitario - Ordinato residuo];Importo unitario - Ordinato residuo;Unit Amount - Remaining Order;;;;;;;;;
Measure;Caption;Ordinato residuo[Margine costo medio - Ordinato residuo];Margine costo medio - Ordinato residuo;Average Cost Margin - Remaining Order;;;;;;;;;
Measure;Caption;Ordinato residuo[Margine costo medio progressivo - Ordinato residuo];Margine costo medio progressivo - Ordinato residuo;Progressive Average Cost Margin - Residual Order;;;;;;;;;
Measure;Caption;Ordinato residuo[Margine costo movimento - Ordinato residuo];Margine costo movimento - Ordinato residuo;Movement Cost Margin - Residual Ordered;;;;;;;;;
Measure;Caption;Ordinato residuo[Margine costo standard - Ordinato residuo];Margine costo standard - Ordinato residuo;Standard Cost Margin - Remaining Order;;;;;;;;;
Measure;Caption;Ordinato residuo[Quantità - Ordinato residuo];Quantità - Ordinato residuo;Quantity - Remaining Order;;;;;;;;;
Measure;Caption;Ordinato residuo[Sconti di riga % - Ordinato residuo];Sconti di riga % - Ordinato residuo;Line Discounts % - Remaining Order;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo medio - Ordinato residuo - PM];Costo medio - Ordinato residuo - PM;Average Cost - Remaining Order - PM;;;;;;;;;
Table;DisplayFolder;Ordinato residuo[Mese precedente (PM)];;Previous Month (PM);;;;;;;;;
Measure;Caption;Ordinato residuo[Costo medio progressivo - Ordinato residuo - PM];Costo medio progressivo - Ordinato residuo - PM;Progressive Average Cost - Residual Order - PM;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo movimento - Ordinato residuo - PM];Costo movimento - Ordinato residuo - PM;Movement Cost - Remaining Order - PM;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo standard - Ordinato residuo - PM];Costo standard - Ordinato residuo - PM;Standard Cost - Remaining Order - PM;;;;;;;;;
Measure;Caption;Ordinato residuo[Quantità - Ordinato residuo - PM];Quantità - Ordinato residuo - PM;Quantity - Remaining Ordered - PM;;;;;;;;;
Measure;Caption;Ordinato residuo[Importo (no omaggi) - Ordinato residuo - PM];Importo (no omaggi) - Ordinato residuo - PM;Amount (No Freebies) - Remaining Order - PM;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo unitario standard - Ordinato residuo - PM];Costo unitario standard - Ordinato residuo - PM;Standard Unit Cost - Remaining Order - PM;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo unitario medio - Ordinato residuo - PM];Costo unitario medio - Ordinato residuo - PM;Average Unit Cost - Residual Order - PM;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo unitario medio progressivo - Ordinato residuo - PM];Costo unitario medio progressivo - Ordinato residuo - PM;Progressive Average Unit Cost - Residual Ordered - PM;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo unitario movimento - Ordinato residuo - PM];Costo unitario movimento - Ordinato residuo - PM;Unit Movement Cost - Residual Ordered - PM;;;;;;;;;
Measure;Caption;Ordinato residuo[Importo unitario - Ordinato residuo - PM];Importo unitario - Ordinato residuo - PM;Unit Amount - Remaining Order - PM;;;;;;;;;
Measure;Caption;Ordinato residuo[Margine costo movimento - Ordinato residuo - PM];Margine costo movimento - Ordinato residuo - PM;Movement Cost Margin - Residual Ordered - PM;;;;;;;;;
Measure;Caption;Ordinato residuo[Margine costo medio progressivo - Ordinato residuo - PM];Margine costo medio progressivo - Ordinato residuo - PM;Progressive Average Cost Margin - Residual Ordered - PM;;;;;;;;;
Measure;Caption;Ordinato residuo[Margine costo medio - Ordinato residuo - PM];Margine costo medio - Ordinato residuo - PM;Average Cost Margin - Residual Ordered - PM;;;;;;;;;
Measure;Caption;Ordinato residuo[Margine costo standard - Ordinato residuo - PM];Margine costo standard - Ordinato residuo - PM;Standard Cost Margin - Residual Ordered - PM;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo medio - Ordinato residuo - PY];Costo medio - Ordinato residuo - PY;Average Cost - Remaining Ordered - PY;;;;;;;;;
Table;DisplayFolder;Ordinato residuo[Anno precedente (PY)];;Previous Year (PY);;;;;;;;;
Measure;Caption;Ordinato residuo[Costo medio progressivo - Ordinato residuo - PY];Costo medio progressivo - Ordinato residuo - PY;Progressive Average Cost - Residual Ordered - PY;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo movimento - Ordinato residuo - PY];Costo movimento - Ordinato residuo - PY;Movement Cost - Remaining Ordered - PY;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo standard - Ordinato residuo - PY];Costo standard - Ordinato residuo - PY;Standard Cost - Remaining Ordered - PY;;;;;;;;;
Measure;Caption;Ordinato residuo[Quantità - Ordinato residuo - PY];Quantità - Ordinato residuo - PY;Quantity - Ordered Remaining - PY;;;;;;;;;
Measure;Caption;Ordinato residuo[Importo (no omaggi) - Ordinato residuo - PY];Importo (no omaggi) - Ordinato residuo - PY;Amount (No Freebies) - Remaining Order - PY;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo unitario standard - Ordinato residuo - PY];Costo unitario standard - Ordinato residuo - PY;Standard Unit Cost - Remaining Ordered - PY;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo unitario medio - Ordinato residuo - PY];Costo unitario medio - Ordinato residuo - PY;Average Unit Cost - Remaining Ordered - PY;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo unitario medio progressivo - Ordinato residuo - PY];Costo unitario medio progressivo - Ordinato residuo - PY;Progressive Average Unit Cost - Residual Ordered - PY;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo unitario movimento - Ordinato residuo - PY];Costo unitario movimento - Ordinato residuo - PY;Unit Movement Cost - Residual Ordered - PY;;;;;;;;;
Measure;Caption;Ordinato residuo[Importo unitario - Ordinato residuo - PY];Importo unitario - Ordinato residuo - PY;Unit Amount - Remaining Order - PY;;;;;;;;;
Measure;Caption;Ordinato residuo[Margine costo movimento - Ordinato residuo - PY];Margine costo movimento - Ordinato residuo - PY;Movement Cost Margin - Residual Ordered - PY;;;;;;;;;
Measure;Caption;Ordinato residuo[Margine costo medio progressivo - Ordinato residuo - PY];Margine costo medio progressivo - Ordinato residuo - PY;Progressive Average Cost Margin - Residual Order - PY;;;;;;;;;
Measure;Caption;Ordinato residuo[Margine costo medio - Ordinato residuo - PY];Margine costo medio - Ordinato residuo - PY;Average Cost Margin - Remaining Order - PY;;;;;;;;;
Measure;Caption;Ordinato residuo[Margine costo standard - Ordinato residuo - PY];Margine costo standard - Ordinato residuo - PY;Standard Cost Margin - Remaining Ordered - PY;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo medio - Ordinato residuo - YTD];Costo medio - Ordinato residuo - YTD;Average Cost - Remaining Ordered - YTD;;;;;;;;;
Table;DisplayFolder;Ordinato residuo[Progressivo anno (YTD)];;Progressive Year (YTD);;;;;;;;;
Measure;Caption;Ordinato residuo[Costo medio progressivo - Ordinato residuo - YTD];Costo medio progressivo - Ordinato residuo - YTD;Progressive Average Cost - Residual Ordered - YTD;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo movimento - Ordinato residuo - YTD];Costo movimento - Ordinato residuo - YTD;Movement Cost - Remaining Order - YTD;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo standard - Ordinato residuo - YTD];Costo standard - Ordinato residuo - YTD;Standard Cost - Remaining Ordered - YTD;;;;;;;;;
Measure;Caption;Ordinato residuo[Quantità - Ordinato residuo - YTD];Quantità - Ordinato residuo - YTD;Quantity - Remaining Ordered - YTD;;;;;;;;;
Measure;Caption;Ordinato residuo[Importo (no omaggi) - Ordinato residuo - YTD];Importo (no omaggi) - Ordinato residuo - YTD;Amount (No Gifts) - Remaining Order - YTD;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo unitario standard - Ordinato residuo - YTD];Costo unitario standard - Ordinato residuo - YTD;Standard Unit Cost - Remaining Order - YTD;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo unitario medio - Ordinato residuo - YTD];Costo unitario medio - Ordinato residuo - YTD;Average Unit Cost - Remaining Order - YTD;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo unitario medio progressivo - Ordinato residuo - YTD];Costo unitario medio progressivo - Ordinato residuo - YTD;Progressive Average Unit Cost - Residual Ordered - YTD;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo unitario movimento - Ordinato residuo - YTD];Costo unitario movimento - Ordinato residuo - YTD;Unit Movement Cost - Residual Ordered - YTD;;;;;;;;;
Measure;Caption;Ordinato residuo[Importo unitario - Ordinato residuo - YTD];Importo unitario - Ordinato residuo - YTD;Unit Amount - Remaining Order - YTD;;;;;;;;;
Measure;Caption;Ordinato residuo[Margine costo movimento - Ordinato residuo - YTD];Margine costo movimento - Ordinato residuo - YTD;Movement Cost Margin - Residual Ordered - YTD;;;;;;;;;
Measure;Caption;Ordinato residuo[Margine costo medio progressivo - Ordinato residuo - YTD];Margine costo medio progressivo - Ordinato residuo - YTD;Progressive Average Cost Margin - Residual Order - YTD;;;;;;;;;
Measure;Caption;Ordinato residuo[Margine costo medio - Ordinato residuo - YTD];Margine costo medio - Ordinato residuo - YTD;Average Cost Margin - Remaining Order - YTD;;;;;;;;;
Measure;Caption;Ordinato residuo[Margine costo standard - Ordinato residuo - YTD];Margine costo standard - Ordinato residuo - YTD;Standard Cost Margin - Remaining Ordered - YTD;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo medio - Ordinato residuo - PYTD];Costo medio - Ordinato residuo - PYTD;Average Cost - Remaining Ordered - PYTD;;;;;;;;;
Table;DisplayFolder;Ordinato residuo[Progressivo anno precedente (PYTD)];;Previous Year Progressive (PYTD);;;;;;;;;
Measure;Caption;Ordinato residuo[Costo medio progressivo - Ordinato residuo - PYTD];Costo medio progressivo - Ordinato residuo - PYTD;Progressive Average Cost - Residual Ordered - PYTD;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo movimento - Ordinato residuo - PYTD];Costo movimento - Ordinato residuo - PYTD;Movement Cost - Remaining Ordered - PYTD;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo standard - Ordinato residuo - PYTD];Costo standard - Ordinato residuo - PYTD;Standard Cost - Remaining Ordered - PYTD;;;;;;;;;
Measure;Caption;Ordinato residuo[Quantità - Ordinato residuo - PYTD];Quantità - Ordinato residuo - PYTD;Quantity - Remaining Ordered - PYTD;;;;;;;;;
Measure;Caption;Ordinato residuo[Importo (no omaggi) - Ordinato residuo - PYTD];Importo (no omaggi) - Ordinato residuo - PYTD;Amount (No Freebies) - Remaining Order - PYTD;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo unitario standard - Ordinato residuo - PYTD];Costo unitario standard - Ordinato residuo - PYTD;Standard Unit Cost - Remaining Order - PYTD;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo unitario medio - Ordinato residuo - PYTD];Costo unitario medio - Ordinato residuo - PYTD;Average Unit Cost - Remaining Ordered - PYTD;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo unitario medio progressivo - Ordinato residuo - PYTD];Costo unitario medio progressivo - Ordinato residuo - PYTD;Progressive Average Unit Cost - Residual Ordered - PYTD;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo unitario movimento - Ordinato residuo - PYTD];Costo unitario movimento - Ordinato residuo - PYTD;Movement Unit Cost - Residual Ordered - PYTD;;;;;;;;;
Measure;Caption;Ordinato residuo[Importo unitario - Ordinato residuo - PYTD];Importo unitario - Ordinato residuo - PYTD;Unit Amount - Remaining Order - PYTD;;;;;;;;;
Measure;Caption;Ordinato residuo[Margine costo movimento - Ordinato residuo - PYTD];Margine costo movimento - Ordinato residuo - PYTD;Movement Cost Margin - Residual Ordered - PYTD;;;;;;;;;
Measure;Caption;Ordinato residuo[Margine costo medio progressivo - Ordinato residuo - PYTD];Margine costo medio progressivo - Ordinato residuo - PYTD;Progressive Average Cost Margin - Residual Ordered - PYTD;;;;;;;;;
Measure;Caption;Ordinato residuo[Margine costo medio - Ordinato residuo - PYTD];Margine costo medio - Ordinato residuo - PYTD;Average Cost Margin - Remaining Ordered - PYTD;;;;;;;;;
Measure;Caption;Ordinato residuo[Margine costo standard - Ordinato residuo - PYTD];Margine costo standard - Ordinato residuo - PYTD;Standard Cost Margin - Remaining Ordered - PYTD;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo medio - Ordinato residuo - YOY];Costo medio - Ordinato residuo - YOY;Average Cost - Remaining Ordered - YOY;;;;;;;;;
Table;DisplayFolder;Ordinato residuo[Variazioni da anno precedente (YOY)];;Change From Previous Year (YOY);;;;;;;;;
Measure;Caption;Ordinato residuo[Costo medio progressivo - Ordinato residuo - YOY];Costo medio progressivo - Ordinato residuo - YOY;Progressive Average Cost - Residual Ordered - YOY;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo movimento - Ordinato residuo - YOY];Costo movimento - Ordinato residuo - YOY;Movement Cost - Remaining Order - YOY;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo standard - Ordinato residuo - YOY];Costo standard - Ordinato residuo - YOY;Standard Cost - Remaining Ordered - YOY;;;;;;;;;
Measure;Caption;Ordinato residuo[Quantità - Ordinato residuo - YOY];Quantità - Ordinato residuo - YOY;Quantity - Remaining Ordered - YOY;;;;;;;;;
Measure;Caption;Ordinato residuo[Importo (no omaggi) - Ordinato residuo - YOY];Importo (no omaggi) - Ordinato residuo - YOY;Amount (No Gifts) - Remaining Ordered - YOY;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo unitario standard - Ordinato residuo - YOY];Costo unitario standard - Ordinato residuo - YOY;Standard Unit Cost - Remaining Order - YOY;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo unitario medio - Ordinato residuo - YOY];Costo unitario medio - Ordinato residuo - YOY;Average Unit Cost - Remaining Order - YOY;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo unitario medio progressivo - Ordinato residuo - YOY];Costo unitario medio progressivo - Ordinato residuo - YOY;Progressive Average Unit Cost - Residual Ordered - YOY;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo unitario movimento - Ordinato residuo - YOY];Costo unitario movimento - Ordinato residuo - YOY;Unit Cost Of Movement - Residual Ordered - YOY;;;;;;;;;
Measure;Caption;Ordinato residuo[Importo unitario - Ordinato residuo - YOY];Importo unitario - Ordinato residuo - YOY;Unit Amount - Remaining Order - YOY;;;;;;;;;
Measure;Caption;Ordinato residuo[Margine costo movimento - Ordinato residuo - YOY];Margine costo movimento - Ordinato residuo - YOY;Movement Cost Margin - Remaining Ordered - YOY;;;;;;;;;
Measure;Caption;Ordinato residuo[Margine costo medio progressivo - Ordinato residuo - YOY];Margine costo medio progressivo - Ordinato residuo - YOY;Progressive Average Cost Margin - Residual Order - YOY;;;;;;;;;
Measure;Caption;Ordinato residuo[Margine costo medio - Ordinato residuo - YOY];Margine costo medio - Ordinato residuo - YOY;Average Cost Margin - Remaining Order - YOY;;;;;;;;;
Measure;Caption;Ordinato residuo[Margine costo standard - Ordinato residuo - YOY];Margine costo standard - Ordinato residuo - YOY;Standard Cost Margin - Remaining Order - YOY;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo medio - Ordinato residuo - YOY%];Costo medio - Ordinato residuo - YOY%;Average Cost - Remaining Ordered - YOY%;;;;;;;;;
Table;DisplayFolder;Ordinato residuo[Variazioni % da anno precedente (YOY%)];;% Change From Previous Year (YOY%);;;;;;;;;
Measure;Caption;Ordinato residuo[Costo medio progressivo - Ordinato residuo - YOY%];Costo medio progressivo - Ordinato residuo - YOY%;Progressive Average Cost - Residual Ordered - YOY%;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo movimento - Ordinato residuo - YOY%];Costo movimento - Ordinato residuo - YOY%;Movement Cost - Remaining Order - YOY%;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo standard - Ordinato residuo - YOY%];Costo standard - Ordinato residuo - YOY%;Standard Cost - Remaining Ordered - YOY%;;;;;;;;;
Measure;Caption;Ordinato residuo[Quantità - Ordinato residuo - YOY%];Quantità - Ordinato residuo - YOY%;Quantity - Ordered Remaining - YOY%;;;;;;;;;
Measure;Caption;Ordinato residuo[Importo (no omaggi) - Ordinato residuo - YOY%];Importo (no omaggi) - Ordinato residuo - YOY%;Amount (No Freebies) - Remaining Order - YOY%;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo unitario standard - Ordinato residuo - YOY%];Costo unitario standard - Ordinato residuo - YOY%;Standard Unit Cost - Remaining Order - YOY%;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo unitario medio - Ordinato residuo - YOY%];Costo unitario medio - Ordinato residuo - YOY%;Average Unit Cost - Remaining Order - YOY%;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo unitario medio progressivo - Ordinato residuo - YOY%];Costo unitario medio progressivo - Ordinato residuo - YOY%;Progressive Average Unit Cost - Residual Ordered - YOY%;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo unitario movimento - Ordinato residuo - YOY%];Costo unitario movimento - Ordinato residuo - YOY%;Unit Cost Of Movement - Remaining Ordered - YOY%;;;;;;;;;
Measure;Caption;Ordinato residuo[Importo unitario - Ordinato residuo - YOY%];Importo unitario - Ordinato residuo - YOY%;Unit Amount - Remaining Order - YOY%;;;;;;;;;
Measure;Caption;Ordinato residuo[Margine costo movimento - Ordinato residuo - YOY%];Margine costo movimento - Ordinato residuo - YOY%;Movement Cost Margin - Remaining Order - YOY%;;;;;;;;;
Measure;Caption;Ordinato residuo[Margine costo medio progressivo - Ordinato residuo - YOY%];Margine costo medio progressivo - Ordinato residuo - YOY%;Progressive Average Cost Margin - Residual Order - YOY%;;;;;;;;;
Measure;Caption;Ordinato residuo[Margine costo medio - Ordinato residuo - YOY%];Margine costo medio - Ordinato residuo - YOY%;Average Cost Margin - Remaining Order - YOY%;;;;;;;;;
Measure;Caption;Ordinato residuo[Margine costo standard - Ordinato residuo - YOY%];Margine costo standard - Ordinato residuo - YOY%;Standard Cost Margin - Remaining Order - YOY%;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo medio - Ordinato residuo - YOYTD];Costo medio - Ordinato residuo - YOYTD;Average Cost - Remaining Ordered - YOYTD;;;;;;;;;
Table;DisplayFolder;Ordinato residuo[Variazioni da anno precedente progressive (YOYTD)];;Progressive Changes From Previous Year (YOYTD);;;;;;;;;
Measure;Caption;Ordinato residuo[Costo medio progressivo - Ordinato residuo - YOYTD];Costo medio progressivo - Ordinato residuo - YOYTD;Progressive Average Cost - Residual Ordered - YOYTD;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo movimento - Ordinato residuo - YOYTD];Costo movimento - Ordinato residuo - YOYTD;Movement Cost - Remaining Order - YOYTD;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo standard - Ordinato residuo - YOYTD];Costo standard - Ordinato residuo - YOYTD;Standard Cost - Remaining Ordered - YOYTD;;;;;;;;;
Measure;Caption;Ordinato residuo[Quantità - Ordinato residuo - YOYTD];Quantità - Ordinato residuo - YOYTD;Quantity - Remaining Ordered - YOYTD;;;;;;;;;
Measure;Caption;Ordinato residuo[Importo (no omaggi) - Ordinato residuo - YOYTD];Importo (no omaggi) - Ordinato residuo - YOYTD;Amount (No Freebies) - Remaining Order - YOYTD;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo unitario standard - Ordinato residuo - YOYTD];Costo unitario standard - Ordinato residuo - YOYTD;Standard Unit Cost - Remaining Ordered - YOYTD;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo unitario medio - Ordinato residuo - YOYTD];Costo unitario medio - Ordinato residuo - YOYTD;Average Unit Cost - Residual Order - YOYTD;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo unitario medio progressivo - Ordinato residuo - YOYTD];Costo unitario medio progressivo - Ordinato residuo - YOYTD;Progressive Average Unit Cost - Residual Ordered - YOYTD;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo unitario movimento - Ordinato residuo - YOYTD];Costo unitario movimento - Ordinato residuo - YOYTD;Unit Cost Of Movement - Residual Ordered - YOYTD;;;;;;;;;
Measure;Caption;Ordinato residuo[Importo unitario - Ordinato residuo - YOYTD];Importo unitario - Ordinato residuo - YOYTD;Unit Amount - Remaining Order - YOYTD;;;;;;;;;
Measure;Caption;Ordinato residuo[Margine costo movimento - Ordinato residuo - YOYTD];Margine costo movimento - Ordinato residuo - YOYTD;Movement Cost Margin - Residual Ordered - YOYTD;;;;;;;;;
Measure;Caption;Ordinato residuo[Margine costo medio progressivo - Ordinato residuo - YOYTD];Margine costo medio progressivo - Ordinato residuo - YOYTD;Progressive Average Cost Margin - Residual Order - YOYTD;;;;;;;;;
Measure;Caption;Ordinato residuo[Margine costo medio - Ordinato residuo - YOYTD];Margine costo medio - Ordinato residuo - YOYTD;Average Cost Margin - Remaining Order - YOYTD;;;;;;;;;
Measure;Caption;Ordinato residuo[Margine costo standard - Ordinato residuo - YOYTD];Margine costo standard - Ordinato residuo - YOYTD;Standard Cost Margin - Remaining Order - YOYTD;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo medio - Ordinato residuo - YOYTD%];Costo medio - Ordinato residuo - YOYTD%;Average Cost - Remaining Ordered - YOYTD%;;;;;;;;;
Table;DisplayFolder;Ordinato residuo[Variazioni % da anno precedente progressive (YOYTD%)];;% Change From Previous Year Progressive (YOYTD%);;;;;;;;;
Measure;Caption;Ordinato residuo[Costo medio progressivo - Ordinato residuo - YOYTD%];Costo medio progressivo - Ordinato residuo - YOYTD%;Progressive Average Cost - Residual Ordered - YOYTD%;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo movimento - Ordinato residuo - YOYTD%];Costo movimento - Ordinato residuo - YOYTD%;Movement Cost - Remaining Order - YOYTD%;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo standard - Ordinato residuo - YOYTD%];Costo standard - Ordinato residuo - YOYTD%;Standard Cost - Remaining Ordered - YOYTD%;;;;;;;;;
Measure;Caption;Ordinato residuo[Quantità - Ordinato residuo - YOYTD%];Quantità - Ordinato residuo - YOYTD%;Quantity - Ordered Remaining - YOYTD%;;;;;;;;;
Measure;Caption;Ordinato residuo[Importo (no omaggi) - Ordinato residuo - YOYTD%];Importo (no omaggi) - Ordinato residuo - YOYTD%;Amount (No Freebies) - Remaining Order - YOYTD%;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo unitario standard - Ordinato residuo - YOYTD%];Costo unitario standard - Ordinato residuo - YOYTD%;Standard Unit Cost - Remaining Ordered - YOYTD%;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo unitario medio - Ordinato residuo - YOYTD%];Costo unitario medio - Ordinato residuo - YOYTD%;Average Unit Cost - Remaining Order - YOYTD%;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo unitario medio progressivo - Ordinato residuo - YOYTD%];Costo unitario medio progressivo - Ordinato residuo - YOYTD%;Progressive Average Unit Cost - Residual Ordered - YOYTD%;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo unitario movimento - Ordinato residuo - YOYTD%];Costo unitario movimento - Ordinato residuo - YOYTD%;Unit Movement Cost - Residual Ordered - YOYTD%;;;;;;;;;
Measure;Caption;Ordinato residuo[Importo unitario - Ordinato residuo - YOYTD%];Importo unitario - Ordinato residuo - YOYTD%;Unit Amount - Remaining Order - YOYTD%;;;;;;;;;
Measure;Caption;Ordinato residuo[Margine costo movimento - Ordinato residuo - YOYTD%];Margine costo movimento - Ordinato residuo - YOYTD%;Movement Cost Margin - Remaining Order - YOYTD%;;;;;;;;;
Measure;Caption;Ordinato residuo[Margine costo medio progressivo - Ordinato residuo - YOYTD%];Margine costo medio progressivo - Ordinato residuo - YOYTD%;Progressive Average Cost Margin - Residual Order - YOYTD%;;;;;;;;;
Measure;Caption;Ordinato residuo[Margine costo medio - Ordinato residuo - YOYTD%];Margine costo medio - Ordinato residuo - YOYTD%;Average Cost Margin - Remaining Order - YOYTD%;;;;;;;;;
Measure;Caption;Ordinato residuo[Margine costo standard - Ordinato residuo - YOYTD%];Margine costo standard - Ordinato residuo - YOYTD%;Standard Cost Margin - Remaining Ordered - YOYTD%;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo medio - Ordinato residuo - MOM];Costo medio - Ordinato residuo - MOM;Average Cost - Remaining Ordered - MOM;;;;;;;;;
Table;DisplayFolder;Ordinato residuo[Variazioni da mese precedente (MOM)];;Change From Previous Month (MOM);;;;;;;;;
Measure;Caption;Ordinato residuo[Costo medio progressivo - Ordinato residuo - MOM];Costo medio progressivo - Ordinato residuo - MOM;Progressive Average Cost - Residual Ordered - MOM;;;;;;;;;
Measure;Caption;Ordinato residuo[Costo movimento - Ordinato residuo - MOM];Costo movimento - Ordinato residuo - MOM;Movement Cost - Remaining Ordered - MOM;;;;;;;;;
